CarID,Brand,model,transmission,fuelType,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,price
432,BMW, 5 Series,Semi-Auto,Diesel,2016.0,71203.0,125.0,60.1,2.0,39.0,0.0,13465
289,Opel, Mokka X,Semi-Auto,Petrol,2018.0,32346.0,150.0,37.2,1.4,84.0,0.0,13490
3716,Toyota, Yaris,Automatic,Hybrid,2016.0,18525.0,0.0,86.0,1.5,46.0,1.0,11490
-145,Toyota, Aygo,anual,Petrol,2017.0,7078.0,150.0,68.9,1.0,66.0,4.0,8000
3600,Hyundai, Tucson,Semi-Auto,Diesel,2017.0,28393.0,145.0,57.7,1.7,32.0,1.0,17780
1736,Mercedes, B Class,Semi-Auto,Diesel,2019.0,11877.0,145.0,68.9,2.1,72.0,2.0,18195
188,Ford, Kuga,Manual,Diesel,2017.0,13240.0,150.0,60.1,2.0,35.0,1.0,15500
-488,Ford, Ka+,Manual,PETROL,2019.0,300.0,145.0,43.5,1.2,64.0,0.0,12890
2414,Toyota, Aygo,Manual,Petrol,,2743.0,145.0,56.5,1.0,51.0,0.0,9795
279,Mercedes, GLE Class,Automatic,Diesel,2019.0,5432.0,145.0,36.7,3.0,88.0,1.0,49399
366,VW, Polo,Automatic,Petrol,2015.0,59650.0,20.0,60.1,1.2,82.0,4.0,8700
-596,Opel, Grandland X,Manual,Petrol,2010.5650091895347,8753.0,145.0,44.1,1.2,60.0,,15495
270,Ford, Fiesta,Manual,Petrol,2018.0,33906.0,150.0,65.7,1.0,3.2257436177114727,3.0,10490
3454,VW, Golf,Manual,Diesel,2019.0,13144.0,145.0,57.7,1.6,44.0,0.0,13995
1485,Skoda, Superb,Semi-Auto,Diesel,2018.0,39300.0,145.0,56.5,2.0,74.0,2.0,18495
-251,Opel, Zafira,Manua,Petro,2017.0,24461.0,200.0,42.2,1.4,94.0,2.0,10163
1728,Ford, Focus,Manual,,2018.0,16617.0,145.0,60.1,1.0,3.2257436177114727,0.0,11300
3129,Audi, Q2,Manual,Petrol,2018.0,10581.0,145.0,52.3,1.4,56.0,1.0,18351
111,Mercedes, C Class,Semi-Auto,Diesel,2019.0,12794.0,,61.4,2.0,52.0,3.0,20980
2341,Mercedes, C Class,Semi-Auto,Petrol,2019.0,13137.0,145.0,44.1,1.5,52.0,0.0,20980
367,Mercedes, A Class,Manual,Diesel,2018.0,21232.0,145.0,68.9,,78.0,4.0,16492
1482,Mercedes, B Class,Automatic,Petrol,2011.0,34000.0,240.0,39.8,1.5,34.0,3.0,6595
220,VW, Polo,Manual,Petrol,2017.0,26337.0,,60.1,1.2,86.0,4.0,9790
2989,Ford, Focus,Manual,Petrol,2019.0,10900.0,145.0,58.9,1.0,40.0,3.0,15600
3160,VW, Golf,Semi-Auto,Petrol,2020.0,100.0,,45.6,1.5,71.0,3.0,22490
2574,Ford, EcoSport,Semi-Auto,Petrol,2019.0,2898.0,145.0,45.6,1.0,84.0,0.0,15950
2848,Ford, Focus,Manual,Petrol,2016.0,46480.0,20.0,61.4,1.0,30.0,1.0,8125
1483,Opel, Crossland X,Manual,Petrol,2019.0,4219.0,,47.9,1.2,92.0,1.0,15800
461,Toyota, Auris,Automatic,Hybrid,2013.0,63774.0,,72.4,1.8,31.0,3.0,8881
-6,VW, Polo,Manual,Diesel,2013.0,51257.0,-49.15354066338728,72.4,1.2,40.0,2.0,5999
3958,BMW, 3 Series,Automatic,Diesel,2015.0,47741.0,200.0,49.6,3.0,96.0,4.0,19690
551,Ford, Focus,Manual,Petrol,2018.0,15893.0,,60.1,1.0,81.0,1.0,12295
3979,Opel, insignia,Manual,Petrol,2018.0,14000.0,145.0,47.1,1.5,45.0,3.0,13450
-142,Audi, a3,SEMI-AUTO,Diesel,2019.0,5000.0,145.0,50.4,2.0,61.0,4.0,24500
2545,Mercedes, C Class,Semi-Auto,Petrol,2019.0,2512.0,145.0,44.1,1.5,70.0,3.0,35099
896,Opel, Corsa,Manual,Petrol,2018.0,14867.0,,55.4,1.4,96.0,3.0,8000
-534,Mercedes, C Class,Semi-Auto,etrol,2019.0,14262.0,,,1.5,89.0,1.0,19799
402,Mercedes,,Automatic,Diesel,2015.0,78070.0,20.0,64.2,2.1,39.0,3.0,13000
2591,Opel, Crossland X,Manual,Diesel,2019.0,10469.0,145.0,60.1,1.5,32.0,1.0,15000
2069,Mercedes, E Class,Semi-Auto,Diesel,2017.0,18057.0,145.0,67.3,2.0,37.0,0.0,19795
-384,VW, Sharan,emi-Auto,Petrol,2019.0,4788.0,145.0,32.5,1.4,98.0,4.0,27499
-199,Opel, Adam, Manual ,Petrol,2013.0,15303.0,125.0,51.4,1.4,73.0,2.0,7000
650,VW, Polo,Manual,Petrol,2014.0,38201.0,20.0,60.1,1.0,90.0,1.0,7298
3666,Mercedes, E Class,Automatic,Diesel,2015.0,50087.0,145.0,53.3,3.0,90.0,2.0,15998
-471,Ford, Focus,Manual,Diese,2015.0,51194.0,0.0,74.3,1.5,88.0,2.0,8000
1723,Skoda, Yeti Outdoor,Manual,Diesel,2014.0,45065.0,200.0,47.9,2.0,83.0,0.0,9300
2823,Mercedes, GLA Class,Semi-Auto,Diesel,2016.0,20422.0,125.0,56.5,2.1,55.0,1.0,18640
3366,Skoda, Octavia,Manual,Petrol,2018.0,17436.0,145.0,58.9,1.0,83.0,1.0,11485
192,Hyundai, Tucson,Manual,Diesel,2016.0,36736.0,125.0,58.9,2.0,81.0,2.0,13450
3007,Mercedes, SL CLASS,Semi-Auto,Petrol,2019.0,1776.0,145.0,28.0,5.5,90.0,0.0,79299
3562,Ford, Ka+,Manual,Petrol,,7117.0,145.0,47.9,1.2,82.0,1.0,9291
314,Hyundai,,Manual,Petrol,2016.0,16750.0,30.0,55.4,1.2,72.0,1.0,8499
2295,Mercedes, E Class,Automatic,Diesel,2010.0,70150.0,235.0,44.1,2.1,58.0,1.0,7995
1779,Ford, Focus,Manual,Petrol,2017.0,10300.0,20.0,,1.0,40.0,1.0,12995
3270,Ford, C-MAX,Manual,Petrol,2015.0,,30.0,55.4,1.0,47.0,2.0,7990
800,Hyundai, I10,Manual,Petrol,2013.0,42709.0,20.0,61.4,1.2,76.0,0.0,4995
1773,Toyota, Corolla,Automatic,Hybrid,2020.0,2136.0,,56.5,1.8,44.0,1.0,24995
113,Opel, Zafira Tourer,Manual,Petrol,2017.0,17527.0,200.0,41.5,1.4,97.0,2.0,11000
2470,Hyundai,IONIQ,Automatic,Hybrid,2018.0,19348.0,,78.5,1.6,3.25476012547432,4.0,17298
-367,ford, Fiesta,Semi-Auto,Petrol,2016.0,9000.0,145.0,,1.6,75.0,1.0,9997
90,Opel,Crossland X,Manual,Petrol,2019.0,1868.0,145.0,44.8,1.2,53.0,3.0,13490
2889,VW, Touareg,Automatic,Diesel,2019.0,6985.0,145.0,34.0,3.0,46.0,2.0,43990
3429,Ford, Fiesta,Manual,Petrol,2019.0,7269.0,145.0,60.1,1.0,68.0,4.0,14730
3744,Skoda, Fabia,Manual,Petrol,2014.0,29357.0,125.0,53.3,1.2,43.0,4.0,6798
803,VW, T-Roc,Manual,Petrol,2018.0,10500.0,150.0,53.3,1.5,73.0,2.0,22990
996,VW, Polo,Semi-Auto,Petrol,2019.0,2189.0,145.0,39.8,2.0,74.0,4.0,19490
-169,VW, Polo,SEMI-AUTO,,2016.0,,20.0,60.1,1.2,67.0,1.0,10495
-453,Audi, A5,Automatic,Petrol,2010.37154645612,112.0,145.0,39.8,2.0,86.0,4.0,33950
1255,Mercedes, E Class,Semi-Auto,,2019.0,8911.0,145.0,48.7,3.0,60.0,4.0,35699
3828,Hyundai, Tucson,Manual,Petrol,2018.0,16662.0,,34.9,1.6,75.0,4.0,15295
-490,Ford, B-MAX,Semi-Aut,Petrol,2014.0,6271.0,165.0,44.1,1.6,76.0,1.0,7895
1001,Opel, Corsa,Manual,Petrol,2013.0,84094.0,125.0,51.4,1.2,54.0,1.0,3999
2387,BMW, 5 Series,Automatic,Diesel,2019.0,10654.0,145.0,60.1,2.0,54.0,4.0,30000
1915,Ford, Kuga,Manual,Diesel,2017.0,23237.0,,60.1,2.0,48.0,1.0,15995
3629,Mercedes, C Class,Automatic,Petrol,2011.0,61242.0,200.0,41.5,1.8,48.0,2.0,8894
1842,VW, Golf,Manual,Petrol,2019.0,50.0,150.0,49.6,1.5,87.0,3.0,20490
-326,Mercedes, C Class,Semi-Auto,DIESEL,2014.0,39442.0,,,2.1,45.0,1.0,14498
3282,Mercedes, GLE Class,Automatic,Diesel,2016.0,36098.0,205.0,47.9,2.1,64.0,3.0,25000
-17,Opel, Crossland X,,petrol,2017.0,12829.0,145.0,57.7,1.2,67.0,3.0,12491
2594,Mercedes, B Class,Semi-Auto,Petrol,2019.0,13021.0,145.0,45.6,1.3,99.0,1.0,22699
1204,Mercedes, A Class,Semi-Auto,Diesel,2017.0,20805.0,145.0,68.9,2.1,78.0,3.0,18890
1647,VW, T-Cross,Manual,Petrol,2019.0,5000.0,145.0,48.7,1.0,82.0,0.0,17499
3503,Mercedes,A Class,Automatic,Diesel,2017.0,37014.0,150.0,74.3,1.5,61.0,0.0,13500
2185,VW, Golf SV,Semi-Auto,Petrol,2020.0,3000.0,150.0,42.8,1.5,30.0,1.0,21500
1047,Opel, Mokka,Automatic,Diesel,2014.0,55000.0,150.0,53.3,0.7395338990348711,82.0,1.0,7995
3026,Mercedes, C Class,,Diesel,2019.0,14874.0,145.0,61.4,2.0,86.0,1.0,25549
3121,Ford,,Manual,Petrol,2015.0,35130.0,30.0,57.7,1.2,77.0,4.0,5000
2876,BMW, 1 Series,Manual,Petrol,2018.0,5531.0,145.0,37.2,1.5,52.0,1.0,16139
1563,Opel, Astra,Semi-Auto,Petrol,2018.0,4023.0,145.0,51.4,1.4,95.0,4.0,13985
1451,Audi, A3,Semi-Auto,Diesel,,13542.0,,72.4,1.6,76.0,0.0,15498
450,Ford, C-MAX,Manual,Petrol,2009.0,89000.0,200.0,40.9,1.6,51.0,3.0,2280
2821,VW, Arteon,Semi-Auto,Petrol,2018.0,21299.0,145.0,47.1,2.0,48.0,1.0,22995
-321,Toyota, Yaris,Automatic,HYBRID,2017.0,35000.0,0.0,78.0,0.1628659545028228,44.0,3.0,11700
3651,Skoda, Superb,Semi-Auto,Diesel,2017.0,26777.0,145.0,61.4,2.0,46.0,0.0,16995
602,Mercedes, E Class,Semi-Auto,Diesel,2019.0,,145.0,72.4,2.0,94.0,2.0,24649
3509,Audi, A3,Semi-Auto,Petrol,2019.0,2480.0,145.0,34.9,2.0,82.0,3.0,32990
1741,Hyundai, I30,Manual,Petrol,2016.0,5156.0,,48.7,1.4,98.0,1.0,9298
1814,Audi, Q3,Semi-Auto,Petrol,2018.0,24350.0,150.0,42.2,2.0,45.0,3.0,23500
1288,Opel, Zafira,Manual,Diesel,2014.0,78900.0,,53.3,2.0,81.0,1.0,6799
1505,BMW, 4 Series,Automatic,Diesel,2019.0,6822.0,145.0,50.4,3.0,69.0,2.0,31480
1272,Mercedes, CLS Class,Automatic,Diesel,2016.0,53000.0,145.0,,2.1,91.0,4.0,18995
254,Mercedes, C Class,Semi-Auto,Diesel,2015.0,,150.0,53.3,2.1,43.0,0.0,10995
1965,Hyundai, I20,,Petrol,2020.0,1420.0,145.0,46.3,1.2,34.0,2.0,12299
511,Toyota, Aygo,Manual,Petrol,2017.0,,0.0,69.0,1.0,47.0,2.0,6522
2758,VW, Polo,Manual,Petrol,2012.0,54042.0,145.0,47.9,1.4,34.0,2.0,6320
1918,Ford,Focus,Manual,Petrol,2017.0,7131.0,145.0,41.5,2.0,44.0,3.0,19100
73,Ford, EcoSport,Manual,Petrol,2017.0,14372.0,145.0,53.3,1.0,90.0,0.0,11750
2281,VW, Golf,Manual,Diesel,2016.0,39039.0,,67.3,2.0,,0.0,15990
1813,BMW, X5,Semi-Auto,Diesel,2019.0,7220.0,145.0,37.7,,86.0,1.0,49950
-416,Ford,Fiesta,MANUAL,Petrol,2016.0,30104.0,0.0,65.7,1.0,56.0,1.0,8650
2552,VW, T-Cross,Manual,Diesel,2019.0,3267.0,145.0,53.3,1.6,97.0,4.0,19680
-531,udi, Q3,Manual,Diesel,2018.0,9600.0,,56.5,2.0,47.0,3.0,20844
-213,Audi, A1,,Diesel,2015.0,40365.0,0.0,80.7,1.6,80.0,-2.335122838386223,10000
599,Ford, C-MAX,Manual,Diesel,2016.0,36860.0,20.0,68.9,1.5,82.0,3.0,9698
2465,Ford, Focus,Automatic,Diesel,2018.0,5675.0,145.0,67.3,1.5,45.0,4.0,16000
3223,Opel, Corsa,Manual,Petrol,2019.0,9493.0,145.0,43.5,1.4,53.0,3.0,10399
2476,Audi, TT,Semi-Auto,Petrol,2019.0,3339.0,145.0,34.5,2.0,54.0,1.0,36750
3200,Toyota, Aygo,Manual,Petrol,2017.0,17047.0,0.0,69.0,1.0,46.0,1.0,6550
426,Ford, Kuga,Manual,Diesel,2017.0,16212.0,145.0,64.2,1.5,71.0,4.0,14266
605,Opel, Adam,Manual,Petrol,2017.0,41285.0,125.0,53.3,1.2,72.0,1.0,7498
494,Opel, Zafira,Automatic,Petrol,2017.0,8616.0,145.0,,1.4,31.0,2.0,12999
351,VW, T-Roc,Manual,Diesel,2019.0,12000.0,150.0,50.4,1.6,87.0,0.0,20995
3273,BMW, 3 Series,Semi-Auto,Diesel,2016.0,26949.0,160.0,51.4,3.0,74.0,2.0,19581
1780,Mercedes, S Class,Automatic,Diesel,2019.0,5260.0,145.0,48.7,3.0,85.0,3.0,61899
2522,Skoda, Karoq,,Petrol,2018.0,9298.0,145.0,50.4,1.5,92.0,3.0,18990
1075,BMW, 4 Series,Manual,Diesel,2015.0,36781.0,145.0,53.3,2.0,96.0,1.0,14999
831,Audi, TT,Semi-Auto,Petrol,2015.0,17462.0,160.0,44.1,2.0,94.0,4.0,17491
1837,BMW, X1,Semi-Auto,Petrol,2017.0,13217.0,145.0,44.8,2.0,41.0,0.0,22052
3997,VW,Up,Manual,Petrol,2015.0,38881.0,20.0,62.8,1.0,54.0,4.0,6395
1293,Ford, B-MAX,Manual,Petrol,2017.0,937.0,145.0,,1.4,88.0,0.0,11495
618,Mercedes, GLA Class,Automatic,Diesel,2017.0,58268.0,30.0,64.2,2.1,77.0,4.0,15000
2121,Ford, Fiesta,Manual,Petrol,2017.0,19684.0,20.0,62.8,1.0,64.0,1.0,10050
1094,Ford, EcoSport,Manual,Petrol,2017.0,12000.0,150.0,53.3,,40.0,4.0,9990
1590,Mercedes, X-CLASS,Automatic,Diesel,2019.0,600.0,260.0,31.4,3.0,56.0,1.0,32995
3396,VW, Polo,Manual,Petrol,2017.0,23252.0,20.0,60.1,1.0,99.0,3.0,8298
2620,Ford, Focus,Manual,Petrol,2017.0,6736.0,20.0,,1.0,38.0,2.0,10498
-417,Ford, Fiesta,Manual,PETROL,2018.0,11645.0,145.0,65.7,1.0,94.0,4.0,10500
-122,Audi, A5,utomatic,Diesel,2014.0,58953.0,125.0,58.9,2.0,50.0,0.0,12743
-37,Mercede, C Class,Automatic,Diesel,2017.0,33219.0,145.0,64.2,2.1,68.0,1.0,16995
3771,Mercedes, GLA Class,Semi-Auto,,2019.0,7489.0,,,1.6,37.0,4.0,24995
2319,Ford, Focus,Manual,Diesel,,35000.0,0.0,74.3,1.5,37.0,1.0,8490
1170,Skoda, Yeti,Semi-Auto,Petrol,2017.0,45932.0,125.0,51.4,1.2,93.0,2.0,10499
2778,Hyundai, I40,Automatic,Diesel,,27712.0,125.0,56.5,1.7,64.0,4.0,11400
2775,Mercedes, C Class,Automatic,Diesel,2016.0,27268.0,30.0,64.2,2.1,37.0,0.0,16449
356,Ford, Edge,Semi-Auto,Diesel,2018.0,12815.0,150.0,,2.0,46.0,4.0,22795
1659,Ford, Kuga,Manual,Diesel,2014.0,58317.0,200.0,47.9,2.0,73.0,1.0,9877
-262,Opel, Astra,Manua,Petrol,2015.0,48272.0,200.0,43.5,1.6,73.0,4.0,7099
2297,Mercedes, GLE Clas,Semi-Auto,Diesel,2017.0,8581.0,145.0,42.8,3.0,93.0,1.0,31990
1264,Toyota, Yaris,Automatic,Petrol,2017.0,4159.0,30.0,58.0,1.3,87.0,2.0,11000
2402,Toyota,,Manual,Petrol,2017.0,17634.0,145.0,69.0,1.0,55.0,3.0,7000
1172,Hyundai, I20,Manual,Petrol,2017.0,14225.0,145.0,58.9,1.2,79.0,0.0,8260
3467,Ford, Focus,Semi-Auto,Diesel,2017.0,14478.0,,74.3,1.5,59.0,2.0,12590
251,Ford, EcoSport,Manual,Diesel,2018.0,9900.0,145.0,58.9,1.5,86.0,3.0,14995
-322,, Mokka X,Manual,petrol,2019.0,3069.0,145.0,39.2,1.4,65.0,0.0,13995
2623,Mercedes, A Class,Semi-Auto,Diesel,2019.0,,145.0,56.5,2.0,66.0,4.0,25899
680,BMW, 1 Series,Semi-Auto,Petrol,2019.0,4812.0,145.0,47.9,2.0,69.0,4.0,19998
-437,Toyota, Aygo,Manua,Petrol,2017.0,27884.0,145.0,69.0,1.0,87.0,0.0,6695
2893,BMW, X1,Semi-Auto,Diesel,2018.0,13245.0,150.0,,2.0,84.0,1.0,24081
2267,Opel, Insignia,Automatic,Diesel,2018.0,41766.0,145.0,49.6,2.0,87.0,1.0,14499
2450,VW, T-Roc,Automatic,Diesel,2019.0,2632.0,145.0,49.6,2.0,44.0,0.0,26000
3738,Opel, Corsa,Manual,Petrol,2016.0,26994.0,30.0,55.4,1.4,31.0,2.0,6995
332,Ford, Fiesta,Manual,Petrol,2016.0,30738.0,0.0,65.7,1.0,56.0,3.0,9299
3439,Skoda, Octavia,Manual,Diesel,2018.0,12694.0,,68.9,1.6,,1.0,13498
751,BMW, 2 Series,Manual,Diesel,2017.0,24216.0,,64.2,2.0,99.0,2.0,15999
720,Ford, Mondeo,Automatic,Diesel,2018.0,47320.0,145.0,45.6,2.0,93.0,2.0,13699
1849,Opel, Insignia,Manual,Petrol,2019.0,3018.0,145.0,50.4,1.5,30.0,4.0,16998
1321,Toyota, Aygo,Manual,Petrol,2018.0,42248.0,145.0,69.0,1.0,45.0,0.0,6970
1025,Audi, A6,Automatic,Diesel,,30603.0,30.0,64.2,2.0,33.0,1.0,15999
3107,Opel, Mokka,Manual,Petrol,2015.0,33671.0,200.0,,1.6,58.0,3.0,7795
2260,Audi, Q2,Manual,Petrol,2019.0,6000.0,145.0,43.5,3.7392354812099646,80.0,1.0,27120
1242,Audi, A8,Automatic,Diesel,2018.0,1000.0,145.0,,3.0,58.0,2.0,39500
3184,VW, sharan,Semi-Auto,Diesel,2019.0,8602.0,145.0,41.5,2.0,75.0,1.0,26990
-4,Ford, Focus,Manual,Petrol,2017.0,8556.0,145.0,60.1,-0.1034927966382504,60.0,1.0,11750
3015,Audi, A6,Manual,Diesel,2016.0,34000.0,30.0,,2.0,74.0,4.0,16450
3428,Skoda, Kodiaq,Automatic,Petrol,2017.0,24000.0,145.0,38.2,2.0,86.0,2.0,23250
3907,Toyota, Aygo,Manual,Petrol,2019.0,1762.0,145.0,56.5,1.0,97.0,0.0,9450
3414,Toyota, Yaris,Manual,Petrol,2018.0,29479.0,145.0,56.5,,52.0,1.0,10485
2796,Ford, Ka+,Manual,Petrol,2019.0,66.0,145.0,43.5,1.2,78.0,4.0,12840
589,Ford, EcoSport,Manual,Petrol,2015.0,27183.0,125.0,53.3,1.0,94.0,3.0,9000
1044,, Golf,Automatic,Diesel,2016.0,50122.0,20.0,58.9,1.6,90.0,3.0,10495
445,Opel, Corsa,Manual,Petrol,2016.0,27299.0,30.0,55.4,1.4,55.0,,7299
-313,udi, A1,Manual,etrol,2017.0,25423.0,0.0,,1.0,78.0,1.0,11499
1421,VW, Tiguan,Semi-Auto,Diesel,2016.0,40000.0,160.0,49.6,2.0,80.0,0.0,19995
1090,VW, Golf,Manual,Diesel,2016.0,40639.0,20.0,68.9,2.0,39.0,0.0,11298
3803,Ford, C-MAX,Manual,Diesel,2019.0,8081.0,145.0,68.9,1.5,96.0,4.0,12600
452,Mercedes, E Class,Semi-Auto,Diesel,2019.0,2000.0,145.0,72.4,,60.0,4.0,24780
1512,Toyota,RAV4,Automatic,Diesel,2011.0,87200.0,300.0,39.8,2.2,32.0,1.0,7500
1174,VW, Caddy Maxi Life,Manual,Diesel,2018.0,52890.0,,58.9,2.0,52.0,4.0,13498
-60,For, Focus,Manual,DIESEL,2019.0,7937.0,,,1.5,32.0,3.0,17440
2968,Opel, Corsa,Manual,Petrol,2014.0,,,51.4,1.2,91.0,3.0,4499
960,VW, Golf,Semi-Auto,Diesel,2019.0,10230.0,145.0,52.3,2.9857934392613865,52.0,1.0,17217
14,Hyundai, Tucson,,Diesel,2016.0,26000.0,125.0,58.9,2.0,35.0,3.0,15000
3233,Opel, Astra,Manual,Diesel,2018.0,8382.0,145.0,76.3,1.6,60.0,4.0,11200
-473,Audi, A4,semi-auto,Diesel,2019.0,5345.0,145.0,44.1,2.0,94.0,1.0,31850
2694,BMW, X2,Manual,Petrol,2019.0,4931.0,145.0,41.5,1.5,53.0,2.0,22000
565,Toyota,Prius,Automatic,Hybrid,2015.0,11872.0,,64.2,1.8,78.0,2.0,22995
2512,Ford, C-MAX,Manual,Diesel,2017.0,30803.0,20.0,68.9,1.5,64.0,3.0,9290
2727,Mercedes, A Class,Manual,Petrol,2019.0,116.0,145.0,28.5,1.3,37.0,2.0,22799
360,Toyota, Aygo,Manual,Petrol,2018.0,,150.0,56.5,1.0,90.0,1.0,8000
3793,VW, Touran,Automatic,Petrol,2019.0,,145.0,38.7,1.5,40.0,0.0,24690
1578,VW, Golf,Automatic,Diesel,2019.0,18731.0,145.0,,2.0,32.0,4.0,17000
-287,VW, Touran,MANUAL,Diesel,2020.0,2500.0,145.0,61.4,2.0,67.0,0.0,31500
1670,BMW, 1 Series,Semi-Auto,Diesel,2019.0,17950.0,150.0,67.3,2.0,,3.0,18980
-373,BMW, 1 Series,Semi-Auto,diesel,2019.0,9079.0,145.0,47.9,1.5,76.0,2.0,18950
2186,Ford, Kuga,Manual,Diesel,2016.0,38206.0,145.0,,2.0,77.0,2.0,14998
2117,Skoda, Octavia,Manual,Diesel,2019.0,14382.0,145.0,68.9,,41.0,1.0,13499
-195,MERCEDES, A Class,Manua,Petrol,2017.0,52641.0,125.0,52.3,,81.0,4.0,11750
3399,BMW, 1 Series,Manual,Petrol,2015.0,27411.0,305.0,35.3,3.0,,1.0,16491
1746,Audi, A3,Manual,Diesel,2015.0,40573.0,0.0,74.3,3.7392354812099646,98.0,3.0,9800
568,BMW, 1 Series,Manual,Diesel,2016.0,40358.0,30.0,,2.0,44.0,1.0,14270
2210,Opel, Mokka X,,Petrol,2018.0,16398.0,145.0,47.1,1.4,51.0,2.0,12298
-54,Mercedes, C Class,emi-Auto,Diesel,2019.0,3358.0,145.0,57.7,2.0,82.0,0.0,31699
-382,Ford, Focus, Manual ,Petrol,2015.0,62299.0,,,1.0,85.0,0.0,7299
1936,Mercedes, GLE CLASS,Automatic,Diesel,2019.0,10005.0,145.0,35.8,2.0,78.0,2.0,52146
-501,Opel, Astra,Manual,diesel,2014.0,59868.0,30.0,62.8,1.7,62.0,3.0,5495
-472,Skoda, Fabia,Manual,PETROL,2017.0,19998.0,145.0,58.9,1.2,44.0,3.0,10795
2347,Mercedes, C Class,Automatic,Diesel,2016.0,23953.0,30.0,64.2,2.1,87.0,4.0,18499
-139,VW, T-Roc,utomatic,Petrol,2019.0,1900.0,145.0,32.5,2.0,63.0,1.0,30850
490,VW, Gol,Manual,,2019.0,5771.0,303.1488914624556,47.1,1.5,91.0,0.0,17298
1952,VW, Polo,Manual,Petrol,2010.0,105640.0,125.0,,1.2,64.0,4.0,2750
862,Mercedes, E Class,Semi-Auto,Diesel,2018.0,22264.0,145.0,65.7,2.0,43.0,1.0,21386
3162,Opel, Grandland X,Manual,Diesel,2019.0,6639.0,,56.5,1.5,33.0,0.0,16590
2564,Mercedes, A Class,Semi-Auto,Diesel,2017.0,86705.85488462522,145.0,68.9,2.1,31.0,3.0,16498
1550,Mercedes, E Class,Automatic,Hybrid,2019.0,6828.0,,188.3,2.0,39.0,4.0,38899
3915,Ford, Focus,Manual,Petrol,2019.0,8580.0,145.0,58.9,1.0,52.0,3.0,15500
2099,Audi, A3,Semi-Auto,Petrol,2019.0,4694.0,,34.5,2.0,81.0,0.0,31990
2583,Opel, Adam,Manual,Petrol,2017.0,9300.0,,53.3,1.2,52.0,4.0,7999
3169,Audi, A3,Manual,Diesel,2019.0,100.0,145.0,51.4,1.6,92.0,1.0,18490
2628,Mercedes, A Class,Automatic,Petrol,2017.0,24597.0,,53.3,1.6,98.0,2.0,16750
506,Toyota, Corolla,Automatic,Hybrid,2020.0,5000.0,135.0,57.7,1.8,32.0,0.0,24980
393,BMW, 1 Series,Semi-Auto,Petrol,2020.0,1500.0,145.0,34.5,2.0,94.0,0.0,30440
1162,Audi, Q3,Automatic,Petrol,2019.0,14385.0,145.0,31.7,2.0,44.0,3.0,28445
1491,Opel, Corsa,Manual,Petrol,2010.0,77143.0,125.0,53.3,1.2,54.0,1.0,3491
1760,Opel, Meriva,Manual,Petrol,2017.0,20756.0,150.0,,1.4,48.0,1.0,8698
2230,BMW, X1,Semi-Auto,Petrol,2020.0,9.0,150.0,47.9,2.0,37.0,2.0,29000
1903,Opel, Corsa,Manual,Petrol,2019.0,4241.0,145.0,43.5,1.4,83.0,1.0,8800
2357,Opel, Corsa,Manual,Petrol,2017.0,32659.0,30.0,,1.4,32.0,0.0,7700
2755,Skoda, Fabia,Manual,Petrol,2015.0,38711.0,20.0,60.1,1.2,79.0,2.0,7491
3886,VW, Golf,Manual,Petrol,2020.0,10.0,145.0,49.6,1.5,43.0,3.0,23990
2305,Ford, Fiesta,Manual,Petrol,2019.0,5001.0,145.0,,1.0,50.0,2.0,15370
1432,Skoda, Fabia,Manual,Petrol,2017.0,15126.0,150.0,64.2,1.0,90.0,0.0,8990
3944,VW, Tiguan,Semi-Auto,Diesel,2016.0,48955.0,,49.6,2.0,79.0,0.0,14995
1029,Ford, Focus,Manual,Petrol,2013.0,51097.0,240.0,39.2,2.0,33.0,3.0,9990
2707,Toyota, Aygo,Manual,Petrol,2018.0,10121.0,150.0,69.0,1.0,62.0,4.0,7250
1610,Ford, Fiesta,Manual,Petrol,2019.0,11000.0,145.0,55.4,1.0,93.0,4.0,16950
3641,Ford, Fiesta,Manual,Petrol,2018.0,11539.0,145.0,60.1,1.0,50.0,1.0,9590
433,Mercedes, SLK,Semi-Auto,Diesel,2016.0,28852.0,30.0,70.6,2.0,89.0,2.0,16980
2676,Hyundai, Tucson,Manual,Diesel,2017.0,37587.0,145.0,54.3,2.0,99.0,4.0,14498
-110,Mercedes, SL CLASS,Semi-Auto,Petrol,2019.0,33.0,145.0,47.1,2.0,83.0,6.258370664185211,32599
3210,Audi, A1,Manual,Petrol,2016.0,21700.0,0.0,67.3,1.0,43.0,4.0,10799
2407,Ford, Focus,Manual,Diesel,2014.0,41494.0,20.0,67.3,1.6,41.0,1.0,7100
1820,BMW, X2,Semi-Auto,Petrol,2019.0,3690.0,150.0,39.2,2.0,43.0,4.0,27980
3909,Audi, Q7,Semi-Auto,Diesel,2019.0,9740.0,145.0,30.1,4.0,84.0,2.0,65290
1407,Ford, KA,Manual,Petrol,2013.0,65000.0,30.0,57.7,1.2,80.0,3.0,3695
1612,Hyundai, I20,Automatic,Petrol,2017.0,6264.0,165.0,45.6,1.4,41.0,1.0,10498
1068,Opel, Corsa,Manual,Petrol,,23023.0,30.0,55.4,1.4,71.0,0.0,6575
-351,For, Fiest,Manual,Petrol,2018.0,39794.0,145.0,56.5,1.0,75.0,3.0,10520
